thread_count, array_size, random_gen, put_to_buckets, write_to_array, all
1 1000 0.000024 0.000082 0.000010 0.000116
1 10000 0.000162 0.000700 0.000047 0.000909
1 100000 0.000981 0.004202 0.000343 0.005526
1 1000000 0.016025 0.054429 0.003196 0.073650
1 10000000 0.085942 1.400482 0.031396 1.517820
1 100000000 0.864925 19.616965 0.319569 20.801459
1 1000000000 8.661675 114.397416 3.216586 126.275677
2 1000 0.000073 0.000061 0.000014 0.000148
2 10000 0.000080 0.000314 0.000041 0.000435
2 100000 0.000474 0.003015 0.000187 0.003676
2 1000000 0.004318 0.031282 0.001674 0.037274
2 10000000 0.042775 0.744528 0.016298 0.803601
2 100000000 0.428152 11.515307 0.164942 12.108401
2 1000000000 4.441848 73.812462 1.644887 79.899197
3 1000 0.000097 0.000054 0.000017 0.000168
3 10000 0.000069 0.000270 0.000037 0.000376
3 100000 0.000335 0.002679 0.000184 0.003198
3 1000000 0.002982 0.028321 0.001193 0.032496
3 10000000 0.029419 0.571708 0.011297 0.612424
3 100000000 0.293736 8.700365 0.113507 9.107608
3 1000000000 3.048697 59.143159 1.128539 63.320395
4 1000 0.000080 0.000070 0.000023 0.000173
4 10000 0.000070 0.000343 0.000053 0.000466
4 100000 0.000275 0.002275 0.000162 0.002712
4 1000000 0.002498 0.024148 0.000946 0.027592
4 10000000 0.022011 0.458325 0.008553 0.488889
4 100000000 0.218284 6.801411 0.084306 7.104001
4 1000000000 2.283197 49.370699 0.830461 52.484357
5 1000 0.000151 0.000041 0.000050 0.000242
5 10000 0.000087 0.000242 0.000101 0.000430
5 100000 0.000253 0.002139 0.000161 0.002553
5 1000000 0.001812 0.021806 0.000763 0.024381
5 10000000 0.017540 0.379321 0.006857 0.403718
5 100000000 0.175154 5.860089 0.068439 6.103682
5 1000000000 1.834949 43.648478 0.672465 46.155892
6 1000 0.000156 0.000074 0.000041 0.000271
6 10000 0.000097 0.000257 0.000072 0.000426
6 100000 0.000225 0.002003 0.000169 0.002397
6 1000000 0.001561 0.019851 0.000647 0.022059
6 10000000 0.014770 0.336351 0.005739 0.356860
6 100000000 0.147062 5.113396 0.056516 5.316974
6 1000000000 1.540083 39.741639 0.561360 41.843082
7 1000 0.000210 0.000074 0.000079 0.000363
7 10000 0.000095 0.000258 0.000101 0.000454
7 100000 0.000216 0.002057 0.000157 0.002430
7 1000000 0.001449 0.019619 0.000602 0.021670
7 10000000 0.012772 0.318707 0.004983 0.336462
7 100000000 0.126536 4.602897 0.049502 4.778935
7 1000000000 1.330191 36.992256 0.492427 38.814874
8 1000 0.000200 0.000090 0.000074 0.000364
8 10000 0.000104 0.000235 0.000107 0.000446
8 100000 0.000213 0.001858 0.000141 0.002212
8 1000000 0.001198 0.018434 0.000586 0.020218
8 10000000 0.011215 0.283429 0.004374 0.299018
8 100000000 0.111091 4.207173 0.043300 4.361564
8 1000000000 1.169561 34.837995 0.428163 36.435719
9 1000 0.000189 0.000060 0.000118 0.000367
9 10000 0.000126 0.000262 0.000175 0.000563
9 100000 0.000249 0.001891 0.000175 0.002315
9 1000000 0.001484 0.018120 0.000702 0.020306
9 10000000 0.010659 0.276556 0.005957 0.293172
9 100000000 0.104079 4.129633 0.047127 4.280839
9 1000000000 1.100104 35.174347 0.452600 36.727051
10 1000 0.000200 0.000093 0.000096 0.000389
10 10000 0.000118 0.000315 0.000123 0.000556
10 100000 0.000259 0.002220 0.000214 0.002693
10 1000000 0.001289 0.022001 0.000788 0.024078
10 10000000 0.009675 0.276524 0.005483 0.291682
10 100000000 0.101324 4.074600 0.045770 4.221694
10 1000000000 1.040507 34.615658 0.420551 36.076716
1 1000 0.000017 0.000035 0.000004 0.000056
1 10000 0.000083 0.000358 0.000031 0.000472
1 100000 0.000835 0.003837 0.000311 0.004983
1 1000000 0.008315 0.043811 0.003144 0.055270
1 10000000 0.083587 1.470483 0.035246 1.589316
1 100000000 0.838620 20.473882 0.318646 21.631148
1 1000000000 8.702543 113.746873 3.175855 125.625271
2 1000 0.000163 0.000044 0.000022 0.000229
2 10000 0.000072 0.000318 0.000040 0.000430
2 100000 0.000458 0.002809 0.000191 0.003458
2 1000000 0.004330 0.032344 0.001672 0.038346
2 10000000 0.043058 0.831697 0.017267 0.892022
2 100000000 0.431253 12.105162 0.164563 12.700978
2 1000000000 4.457272 77.223723 1.637725 83.318720
3 1000 0.000089 0.000053 0.000018 0.000160
3 10000 0.000081 0.000269 0.000037 0.000387
3 100000 0.000328 0.002685 0.000148 0.003161
3 1000000 0.002985 0.028708 0.001195 0.032888
3 10000000 0.029434 0.615070 0.011936 0.656440
3 100000000 0.290607 8.858084 0.114795 9.263486
3 1000000000 3.045687 59.188921 1.126798 63.361406
4 1000 0.000098 0.000062 0.000029 0.000189
4 10000 0.000123 0.000229 0.000047 0.000399
4 100000 0.000274 0.002302 0.000135 0.002711
4 1000000 0.002282 0.024404 0.000905 0.027591
4 10000000 0.022053 0.456590 0.008587 0.487230
4 100000000 0.218237 6.804554 0.084294 7.107085
4 1000000000 2.285878 50.346409 0.849485 53.481772
5 1000 0.000127 0.000051 0.000066 0.000244
5 10000 0.000098 0.000237 0.000091 0.000426
5 100000 0.000248 0.002189 0.000159 0.002596
5 1000000 0.001864 0.024242 0.000794 0.026900
5 10000000 0.017732 0.449938 0.006843 0.474513
5 100000000 0.183860 6.056393 0.067920 6.308173
5 1000000000 1.851722 43.978057 0.671632 46.501411
6 1000 0.000163 0.000076 0.000063 0.000302
6 10000 0.000077 0.000240 0.000093 0.000410
6 100000 0.000244 0.001990 0.000149 0.002383
6 1000000 0.001556 0.020008 0.000691 0.022255
6 10000000 0.014789 0.345845 0.005840 0.366474
6 100000000 0.146455 5.065349 0.057116 5.268920
6 1000000000 1.535899 39.600025 0.563467 41.699391
7 1000 0.000171 0.000055 0.000077 0.000303
7 10000 0.000106 0.000251 0.000097 0.000454
7 100000 0.000246 0.001965 0.000160 0.002371
7 1000000 0.001367 0.019069 0.000628 0.021064
7 10000000 0.012806 0.318216 0.004989 0.336011
7 100000000 0.126356 4.620468 0.049844 4.796668
7 1000000000 1.328101 36.460598 0.494353 38.283052
8 1000 0.000223 0.000057 0.000050 0.000330
8 10000 0.000113 0.000251 0.000109 0.000473
8 100000 0.000203 0.001841 0.000145 0.002189
8 1000000 0.001226 0.018356 0.000539 0.020121
8 10000000 0.011159 0.280607 0.005415 0.297181
8 100000000 0.110338 4.185172 0.043382 4.338892
8 1000000000 1.163000 34.015318 0.428156 35.606474
9 1000 0.000251 0.000093 0.000148 0.000492
9 10000 0.000158 0.000313 0.000104 0.000575
9 100000 0.000205 0.001891 0.000221 0.002317
9 1000000 0.001218 0.018025 0.000726 0.019969
9 10000000 0.011080 0.274832 0.005883 0.291795
9 100000000 0.102556 4.012425 0.044022 4.159003
9 1000000000 1.079816 33.821779 0.417392 35.318987
10 1000 0.000241 0.000108 0.000127 0.000476
10 10000 0.000124 0.000275 0.000129 0.000528
10 100000 0.000227 0.001800 0.000194 0.002221
10 1000000 0.001150 0.018085 0.000704 0.019939
10 10000000 0.009857 0.261860 0.005120 0.276837
10 100000000 0.095238 3.902739 0.042218 4.040195
10 1000000000 1.041417 33.613809 0.396839 35.052065
1 1000 0.000014 0.000035 0.000004 0.000053
1 10000 0.000083 0.000350 0.000031 0.000464
1 100000 0.000828 0.003791 0.000309 0.004928
1 1000000 0.008289 0.042479 0.003065 0.053833
1 10000000 0.083042 1.278181 0.031498 1.392721
1 100000000 0.830505 19.478269 0.317520 20.626294
1 1000000000 8.651311 115.009481 3.241560 126.902352
2 1000 0.000174 0.000070 0.000013 0.000257
2 10000 0.000075 0.000312 0.000043 0.000430
2 100000 0.000456 0.002822 0.000193 0.003471
2 1000000 0.004325 0.030996 0.001688 0.037009
2 10000000 0.043146 0.840173 0.016344 0.899663
2 100000000 0.428612 12.086307 0.171270 12.686189
2 1000000000 4.444395 78.123909 1.641187 84.209491
3 1000 0.000088 0.000055 0.000017 0.000160
3 10000 0.000080 0.000356 0.000038 0.000474
3 100000 0.000331 0.002681 0.000166 0.003178
3 1000000 0.002987 0.028531 0.001212 0.032730
3 10000000 0.029477 0.635466 0.011341 0.676284
3 100000000 0.293423 8.881910 0.113272 9.288605
3 1000000000 3.050700 61.457668 1.121246 65.629614
4 1000 0.000108 0.000066 0.000029 0.000203
4 10000 0.000071 0.000236 0.000046 0.000353
4 100000 0.000339 0.002308 0.000168 0.002815
4 1000000 0.002272 0.024093 0.000917 0.027282
4 10000000 0.022100 0.535332 0.011378 0.568810
4 100000000 0.218493 7.006308 0.088551 7.313352
4 1000000000 2.312558 50.528755 0.827365 53.668678
5 1000 0.000167 0.000068 0.000058 0.000293
5 10000 0.000084 0.000254 0.000059 0.000397
5 100000 0.000249 0.002126 0.000157 0.002532
5 1000000 0.001830 0.022897 0.000793 0.025520
5 10000000 0.017587 0.384765 0.006925 0.409277
5 100000000 0.177333 5.848734 0.067499 6.093566
5 1000000000 1.837683 43.809002 0.676307 46.322992
6 1000 0.000166 0.000063 0.000056 0.000285
6 10000 0.000095 0.000257 0.000111 0.000463
6 100000 0.000238 0.002065 0.000183 0.002486
6 1000000 0.001551 0.020687 0.000667 0.022905
6 10000000 0.014718 0.341078 0.005731 0.361527
6 100000000 0.146669 5.093089 0.057342 5.297100
6 1000000000 1.537112 39.741645 0.562034 41.840791
7 1000 0.000195 0.000082 0.000076 0.000353
7 10000 0.000085 0.000303 0.000069 0.000457
7 100000 0.000238 0.001973 0.000165 0.002376
7 1000000 0.001351 0.019620 0.000611 0.021582
7 10000000 0.012761 0.321452 0.004979 0.339192
7 100000000 0.126775 4.655870 0.049501 4.832146
7 1000000000 1.329184 37.182937 0.492908 39.005029
8 1000 0.000185 0.000055 0.000063 0.000303
8 10000 0.000125 0.000233 0.000089 0.000447
8 100000 0.000233 0.001884 0.000135 0.002252
8 1000000 0.001223 0.018109 0.000532 0.019864
8 10000000 0.011200 0.293015 0.004434 0.308649
8 100000000 0.111423 4.234166 0.043363 4.388952
8 1000000000 1.172119 34.875345 0.430166 36.477630
9 1000 0.000200 0.000094 0.000140 0.000434
9 10000 0.000102 0.000233 0.000155 0.000490
9 100000 0.000218 0.001852 0.000214 0.002284
9 1000000 0.001231 0.023183 0.000774 0.025188
9 10000000 0.011228 0.288273 0.006584 0.306085
9 100000000 0.112605 4.154847 0.047011 4.314463
9 1000000000 1.129643 35.899797 0.443291 37.472731
10 1000 0.000216 0.000099 0.000204 0.000519
10 10000 0.000178 0.000257 0.000142 0.000577
10 100000 0.000251 0.002240 0.000185 0.002676
10 1000000 0.002355 0.029870 0.000954 0.033179
10 10000000 0.016099 0.343981 0.006656 0.366736
10 100000000 0.109460 4.109334 0.049660 4.268454
10 1000000000 1.068787 36.642257 0.517488 38.228532
1 1000 0.000014 0.000037 0.000004 0.000055
1 10000 0.000089 0.001762 0.000046 0.001897
1 100000 0.000888 0.004063 0.000327 0.005278
1 1000000 0.008920 0.073374 0.003333 0.085627
1 10000000 0.088281 1.806453 0.033716 1.928450
1 100000000 0.880277 21.830759 0.326967 23.038003
1 1000000000 8.858890 120.049000 3.173342 132.081232
2 1000 0.000148 0.000047 0.000013 0.000208
2 10000 0.000071 0.000275 0.000041 0.000387
2 100000 0.000453 0.002824 0.000192 0.003469
2 1000000 0.004422 0.033321 0.001679 0.039422
2 10000000 0.042705 0.828453 0.016762 0.887920
2 100000000 0.427076 12.086750 0.165310 12.679136
2 1000000000 4.463660 77.591026 1.628346 83.683032
3 1000 0.000075 0.000053 0.000018 0.000146
3 10000 0.000064 0.000266 0.000040 0.000370
3 100000 0.000364 0.002699 0.000225 0.003288
3 1000000 0.002989 0.031162 0.001185 0.035336
3 10000000 0.029465 0.630491 0.011636 0.671592
3 100000000 0.292224 8.960631 0.112617 9.365472
3 1000000000 3.040383 60.450176 1.149961 64.640520
4 1000 0.000104 0.000053 0.000023 0.000180
4 10000 0.000069 0.000258 0.000046 0.000373
4 100000 0.000269 0.002304 0.000175 0.002748
4 1000000 0.002264 0.024116 0.000916 0.027296
4 10000000 0.022096 0.456907 0.008691 0.487694
4 100000000 0.220624 6.960067 0.085728 7.266419
4 1000000000 2.299549 50.064384 0.829216 53.193149
5 1000 0.000169 0.000074 0.000031 0.000274
5 10000 0.000089 0.000249 0.000081 0.000419
5 100000 0.000245 0.002166 0.000173 0.002584
5 1000000 0.001814 0.022548 0.000773 0.025135
5 10000000 0.017720 0.407885 0.006830 0.432435
5 100000000 0.176289 5.883265 0.068544 6.128098
5 1000000000 1.845230 44.104748 0.674740 46.624718
6 1000 0.000209 0.000056 0.000075 0.000340
6 10000 0.000099 0.000217 0.000101 0.000417
6 100000 0.000235 0.002025 0.000168 0.002428
6 1000000 0.001554 0.019590 0.000676 0.021820
6 10000000 0.014921 0.345957 0.005742 0.366620
6 100000000 0.146888 5.090346 0.056674 5.293908
6 1000000000 1.533930 39.858748 0.563133 41.955811
7 1000 0.000175 0.000098 0.000097 0.000370
7 10000 0.000087 0.000284 0.000091 0.000462
7 100000 0.000257 0.001911 0.000164 0.002332
7 1000000 0.001393 0.019719 0.000612 0.021724
7 10000000 0.012717 0.319914 0.004953 0.337584
7 100000000 0.126278 4.658316 0.049282 4.833876
7 1000000000 1.410939 37.254834 0.490919 39.156692
8 1000 0.000129 0.000054 0.000060 0.000243
8 10000 0.000076 0.000244 0.000117 0.000437
8 100000 0.000256 0.001859 0.000129 0.002244
8 1000000 0.001220 0.019207 0.000536 0.020963
8 10000000 0.011607 0.309376 0.004366 0.325349
8 100000000 0.110605 4.200833 0.043393 4.354831
8 1000000000 1.171820 34.641344 0.442314 36.255478
9 1000 0.000269 0.000102 0.000125 0.000496
9 10000 0.000194 0.000308 0.000115 0.000617
9 100000 0.000282 0.001884 0.000213 0.002379
9 1000000 0.001400 0.019504 0.000791 0.021695
9 10000000 0.010743 0.296460 0.005580 0.312783
9 100000000 0.112926 4.227944 0.049604 4.390474
9 1000000000 1.101470 35.257358 0.449643 36.808471
10 1000 0.000234 0.000111 0.000145 0.000490
10 10000 0.000139 0.000296 0.000114 0.000549
10 100000 0.000230 0.002040 0.000193 0.002463
10 1000000 0.001185 0.021457 0.000796 0.023438
10 10000000 0.009959 0.272106 0.006539 0.288604
10 100000000 0.103072 4.051076 0.045362 4.199510
10 1000000000 1.040848 35.157560 0.427409 36.625817
